2012-06-11 14:45:00 install zlib1g <none> 1:1.2.3.4.dfsg-3
2012-06-11 14:45:00 status half-installed zlib1g 1:1.2.3.4.dfsg-3
2012-06-11 14:45:00 status unpacked zlib1g 1:1.2.3.4.dfsg-3
2012-06-11 14:45:00 status unpacked zlib1g 1:1.2.3.4.dfsg-3
2012-06-11 14:45:00 startup packages configure
2012-06-11 14:45:00 configure ncurses-base 5.7+20100313-5 5.7+20100313-5
2012-06-11 14:45:00 status unpacked ncurses-base 5.7+20100313-5
2012-06-11 14:45:00 status unpacked ncurses-base 5.7+20100313-5
2012-06-11 14:45:00 status half-configured ncurses-base 5.7+20100313-5
2012-06-11 14:45:00 status installed ncurses-base 5.7+20100313-5
2012-06-11 14:45:00 configure sensible-utils 0.0.4 0.0.4
2012-06-11 14:45:00 status unpacked sensible-utils 0.0.4
2012-06-11 14:45:00 status half-configured sensible-utils 0.0.4
2012-06-11 14:45:00 status installed sensible-utils 0.0.4
2012-06-11 14:45:00 configure libc-bin 2.11.3-3 2.11.3-3
2012-06-11 14:45:00 status unpacked libc-bin 2.11.3-3
2012-06-11 14:45:00 status unpacked libc-bin 2.11.3-3
2012-06-11 14:45:00 status unpacked libc-bin 2.11.3-3
2012-06-11 14:45:00 status unpacked libc-bin 2.11.3-3
2012-06-11 14:45:00 status half-configured libc-bin 2.11.3-3
2012-06-11 14:45:00 status installed libc-bin 2.11.3-3
2012-06-11 14:45:00 configure gcc-4.4-base 4.4.5-8 4.4.5-8
2012-06-11 14:45:00 status unpacked gcc-4.4-base 4.4.5-8
2012-06-11 14:45:00 status half-configured gcc-4.4-base 4.4.5-8
2012-06-11 14:45:00 status installed gcc-4.4-base 4.4.5-8
2012-06-11 14:45:00 configure libc6 2.11.3-3 2.11.3-3
2012-06-11 14:45:00 status unpacked libc6 2.11.3-3
2012-06-11 14:45:00 status unpacked libc6 2.11.3-3
2012-06-11 14:45:00 status half-configured libc6 2.11.3-3
2012-06-11 14:45:01 status installed libc6 2.11.3-3
2012-06-11 14:45:01 configure debianutils 3.4 3.4
2012-06-11 14:45:01 status unpacked debianutils 3.4
2012-06-11 14:45:01 status half-configured debianutils 3.4
2012-06-11 14:45:01 status installed debianutils 3.4
2012-06-11 14:45:01 configure bsdutils 1:2.17.2-9 1:2.17.2-9
2012-06-11 14:45:01 status unpacked bsdutils 1:2.17.2-9
2012-06-11 14:45:01 status half-configured bsdutils 1:2.17.2-9
2012-06-11 14:45:01 status installed bsdutils 1:2.17.2-9
2012-06-11 14:45:01 configure libsepol1 2.0.41-1 2.0.41-1
2012-06-11 14:45:01 status unpacked libsepol1 2.0.41-1
2012-06-11 14:45:01 status half-configured libsepol1 2.0.41-1
2012-06-11 14:45:01 status installed libsepol1 2.0.41-1
2012-06-11 14:45:01 configure diffutils 1:3.0-1 1:3.0-1
2012-06-11 14:45:01 status unpacked diffutils 1:3.0-1
2012-06-11 14:45:01 status half-configured diffutils 1:3.0-1
2012-06-11 14:45:01 status installed diffutils 1:3.0-1
2012-06-11 14:45:01 configure tar 1.23-3 1.23-3
2012-06-11 14:45:01 status unpacked tar 1.23-3
2012-06-11 14:45:01 status unpacked tar 1.23-3
2012-06-11 14:45:01 status half-configured tar 1.23-3
2012-06-11 14:45:01 status installed tar 1.23-3
2012-06-11 14:45:01 configure zlib1g 1:1.2.3.4.dfsg-3 1:1.2.3.4.dfsg-3
2012-06-11 14:45:01 status unpacked zlib1g 1:1.2.3.4.dfsg-3
2012-06-11 14:45:01 status half-configured zlib1g 1:1.2.3.4.dfsg-3
2012-06-11 14:45:01 status installed zlib1g 1:1.2.3.4.dfsg-3
2012-06-11 14:45:01 configure libgcc1 1:4.4.5-8 1:4.4.5-8
2012-06-11 14:45:01 status unpacked libgcc1 1:4.4.5-8
2012-06-11 14:45:01 status half-configured libgcc1 1:4.4.5-8
2012-06-11 14:45:01 status installed libgcc1 1:4.4.5-8
2012-06-11 14:45:01 configure libncurses5 5.7+20100313-5 5.7+20100313-5
2012-06-11 14:45:01 status unpacked libncurses5 5.7+20100313-5
2012-06-11 14:45:01 status half-configured libncurses5 5.7+20100313-5
2012-06-11 14:45:01 status installed libncurses5 5.7+20100313-5
2012-06-11 14:45:01 configure libattr1 1:2.4.44-2 1:2.4.44-2
2012-06-11 14:45:01 status unpacked libattr1 1:2.4.44-2
2012-06-11 14:45:01 status half-configured libattr1 1:2.4.44-2
